Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
Polycab India,5208.25,53.9,78119.22,0.38,402.81,81.68,3889.38,42.13,27.11,Cables,11.6,14.56,0.04,19.95,65.99,2.59,0.0,29.31,77827.57,15.0,448.82,4.1,1.33,0.0,6,6,1.68,1.27,65.99,24.61,32.25,3.75,,62.13,21.65,988.64,64.57,71.5,32.25,103.82,14.61,9.66,-0.12,9.75,0.41,NSE : POLYCAB
KEI Industries,2681.4,48.86,24184.2,0.11,121.39,16.98,1782.57,13.87,25.82,Cables,9.34,13.08,0.06,20.21,37.1,2.94,0.0,29.31,23808.87,9.02,287.05,4.74,1.84,0.0,7,4,1.89,1.41,37.1,18.29,73.28,3.75,,86.94,18.55,595.38,98.27,52.79,73.28,77.79,15.68,27.67,0.3,19.55,0.0,NSE : KEI
Finolex Cables,1093.4,31.06,16722.39,0.64,132.24,38.37,1204.25,18.57,18.5,Cables,4.51,13.06,0.0,14.39,35.92,4.19,0.0,29.31,16662.65,15.29,242.56,5.34,7.93,0.0,8,4,1.17,1.04,35.92,15.1,17.74,3.75,,229.84,17.11,438.32,65.72,21.49,17.74,69.47,37.27,11.25,0.47,15.56,-1.47,NSE : FINCABLES
Sterlite Tech.,168.4,25.92,6712.7,0.59,52.0,200.0,1522.0,2.35,11.08,Cables,3.21,1.46,1.83,6.32,54.05,6.88,0.0,24.66,10039.7,39.86,52.46,4.0,0.78,0.0,6,3,0.79,4.19,54.05,6.77,96.03,3.38,,96.88,7.84,79.44,-50.01,238.1,96.03,92.05,36.81,7.16,-0.83,1.99,-0.1,NSE : STLTECH
Universal Cables,488.35,14.68,1694.35,0.61,24.05,-10.16,479.41,-6.69,12.02,Cables,1.13,4.24,0.44,8.46,61.89,10.47,0.0,29.31,2347.8,3.47,431.36,5.85,1.26,0.0,9,3,0.79,1.86,61.89,18.29,147.51,3.75,,148.64,8.74,568.24,146.0,62.64,147.51,61.13,35.28,0.35,-0.01,2.48,-0.07,NSE : UNIVCABLES
Paramount Comm.,59.95,24.21,1337.99,0.0,14.53,106.69,210.54,28.59,13.03,Cables,3.95,9.7,0.54,19.23,63.89,4.3,26.52,29.31,1468.05,22.32,15.2,5.12,2.69,22.45,8,4,1.62,1.67,46.95,12.35,77.34,3.75,,131.65,12.53,30.66,123.19,24.9,77.34,70.75,35.24,0.86,0.31,0.0,0.0,NSE : PARACABLES
Dynamic Cables,471.45,29.47,1037.85,0.11,11.38,58.72,181.27,14.74,23.89,Cables,5.85,8.21,0.46,19.01,74.44,5.92,0.0,29.31,1088.11,2.2,80.6,6.13,1.19,0.0,5,6,1.78,2.12,74.44,16.76,112.52,3.75,,92.11,15.96,170.33,83.02,87.88,112.52,58.37,25.2,0.35,0.25,0.0,0.0,NSE : DYCL
Birla Cable,330.9,23.4,992.7,0.76,11.98,292.79,174.1,17.75,18.35,Cables,4.32,8.33,0.56,16.14,66.36,6.41,6.28,24.66,1117.27,3.0,76.66,6.87,1.45,0.0,5,5,1.96,1.76,62.19,13.42,99.71,3.38,,108.59,15.52,156.17,110.77,48.71,99.71,59.77,33.4,0.04,0.04,0.21,0.2,NSE : BIRLACABLE
Hind.Urban Infra,2294.9,,331.13,0.0,-9.07,9.61,100.26,-32.6,-5.41,Cables,0.88,-5.98,0.87,-9.33,74.94,-5.68,0.0,29.31,647.56,0.14,2619.03,3.08,0.47,0.0,3,1,0.6,2.57,74.94,-3.82,79.54,3.75,,95.35,-4.04,,115.45,103.61,79.54,139.52,24.77,0.0,0.0,0.31,0.0,Not Found
V-Marc India,127.0,27.69,289.38,0.0,8.05,,132.53,,19.61,Cables,3.63,5.42,0.95,15.08,69.96,6.8,42.88,29.31,364.96,2.28,34.98,2.77,0.63,0.0,7,2,1.28,2.78,39.96,18.3,98.02,3.75,,126.45,10.07,60.08,156.96,72.66,98.02,131.61,30.04,0.0,0.0,0.0,0.0,NSE - SM : VMARCIND
Siemens,3887.05,78.23,138425.72,0.26,423.7,43.38,4473.1,14.26,15.41,Capital Goods - Electrical Equipment,11.47,8.2,0.02,13.79,75.0,1.8,0.0,45.4,132908.72,35.61,339.03,4.12,1.68,0.0,6,3,0.8,1.59,75.0,16.6,87.27,4.93,,19.21,12.01,661.06,-11.66,196.56,87.27,97.64,9.4,7.58,0.57,8.01,-0.47,NSE : SIEMENS
A B B,4291.45,89.54,90939.42,0.13,295.63,101.15,2508.63,22.22,23.03,Capital Goods - Electrical Equipment,16.94,8.79,0.01,17.01,75.0,1.57,0.0,45.4,86830.85,21.19,253.35,4.38,1.48,0.0,8,4,0.99,1.76,75.0,19.74,89.17,4.93,,-3.49,13.19,529.8,5.44,181.55,89.17,97.82,7.48,9.46,1.01,8.07,-0.91,NSE : ABB
CG Power & Indu.,423.95,78.18,64748.02,0.35,203.84,58.67,1874.0,14.08,61.69,Capital Goods - Electrical Equipment,36.16,20.72,0.01,66.05,58.12,1.66,0.0,45.4,64050.49,152.73,11.72,9.29,0.94,0.0,8,4,1.58,2.47,58.12,59.03,67.9,4.93,,-17.0,22.95,42.32,12.92,95.67,67.9,40.68,18.18,15.94,0.55,7.74,0.57,NSE : CGPOWER
B H E L,136.15,147.46,47408.29,0.29,-343.89,-82.93,5003.43,7.09,3.33,Capital Goods - Electrical Equipment,1.77,0.77,0.2,1.7,63.17,1.86,0.0,45.4,46219.22,348.21,77.05,1.48,1.0,0.0,3,3,0.4,2.18,63.17,6.86,48.87,4.93,,97.66,1.43,40.01,-34.62,344.8,48.87,261.31,12.71,7.77,-0.81,16.36,0.86,NSE : BHEL
Suzlon Energy,25.0,116.19,33650.31,0.0,100.9,1209.89,1350.98,-2.15,20.61,Capital Goods - Electrical Equipment,28.37,2.85,1.76,,13.29,1.67,80.77,45.4,35220.92,1346.01,0.88,1.87,0.86,5.63,8,2,1.0,5.46,2.56,21.78,71.55,4.93,,90.27,10.65,2.87,161.53,86.33,71.55,176.31,64.92,10.86,3.22,10.9,5.35,NSE - BE : SUZLON
Apar Inds.,4957.4,26.62,18971.29,0.81,197.43,61.22,3773.01,21.98,51.14,Capital Goods - Electrical Equipment,8.48,8.6,0.17,32.27,60.64,6.78,0.0,45.4,18817.42,3.83,584.39,4.6,0.77,0.0,9,7,1.94,3.31,60.64,38.19,81.33,4.93,,21.9,15.53,1564.85,-8.34,177.46,81.33,87.79,13.92,7.47,0.81,17.97,0.02,NSE : APARINDS
Hitachi Energy,4380.9,195.5,18566.99,0.08,2.41,79.85,1040.06,5.48,12.91,Capital Goods - Electrical Equipment,15.28,2.53,0.28,8.03,75.0,0.93,0.0,45.4,18738.01,4.24,286.75,3.64,0.85,0.0,4,4,1.2,3.06,75.0,9.38,124.79,4.93,,44.26,4.46,380.23,30.99,203.93,124.79,110.12,12.38,4.52,-0.29,8.08,0.2,NSE : POWERINDIA
K E C Intl.,669.95,91.94,17223.64,0.45,42.33,36.46,4243.59,27.89,11.75,Capital Goods - Electrical Equipment,4.57,1.0,0.9,4.74,51.88,3.79,0.0,51.03,20262.85,25.71,146.7,6.55,1.03,0.0,6,2,0.99,4.63,51.88,13.73,145.65,4.22,,84.47,4.11,155.09,-228.78,433.15,145.65,58.72,9.9,11.58,-1.02,26.65,0.86,NSE : KEC
V-Guard Industri,313.95,76.28,13610.62,0.41,53.13,-1.65,1147.68,13.67,14.47,Capital Goods - Electrical Equipment,8.54,7.48,0.32,12.0,55.62,1.89,0.0,45.4,14087.08,43.35,36.74,3.77,0.86,0.0,4,4,1.69,1.51,55.62,16.04,47.93,4.93,,65.04,9.8,58.41,80.41,54.89,47.93,87.37,12.18,12.83,-0.01,19.38,0.28,NSE : VGUARD
Triveni Turbine,389.35,57.55,12376.54,0.32,60.96,58.82,376.42,45.31,28.74,Capital Goods - Electrical Equipment,16.28,12.86,0.0,21.5,55.84,2.36,0.0,45.4,12095.31,31.79,23.92,3.3,0.83,0.0,8,5,0.92,1.78,55.84,44.83,37.82,4.93,,-47.28,20.99,60.11,95.79,64.49,37.82,122.46,4.82,26.79,2.41,12.56,-2.57,NSE : TRITURBINE
Hind.Aeronautics,3941.75,21.9,131807.19,1.4,814.19,34.21,3915.34,8.08,30.58,Capital Goods-Non Electrical Equipment,5.61,8.98,0.0,27.16,71.64,6.12,0.0,35.01,111552.04,33.44,702.96,0.66,1.29,0.0,7,4,0.42,2.75,71.64,19.58,63.97,4.69,,38.21,9.87,1687.27,475.1,116.25,63.97,527.38,5.81,11.9,2.83,10.64,-3.29,Not Found
Cummins India,1706.0,37.93,47290.32,1.47,315.67,50.63,2208.71,30.95,26.82,Capital Goods-Non Electrical Equipment,8.81,15.44,0.07,21.63,51.0,3.6,0.0,30.93,46282.12,27.72,193.65,6.51,1.67,0.0,7,5,1.08,1.33,51.0,23.66,75.07,4.53,,52.76,22.15,442.67,56.63,80.27,75.07,61.83,10.67,14.37,0.38,23.76,0.15,NSE : CUMMINSIND
Thermax,2800.15,69.11,33365.55,0.36,59.95,55.16,1932.96,16.83,15.06,Capital Goods-Non Electrical Equipment,8.63,5.57,0.21,12.31,61.98,2.14,0.0,35.01,33064.5,11.92,324.62,6.32,0.89,0.0,8,4,0.99,2.11,61.98,25.19,79.5,4.69,,-21.12,8.01,525.33,20.92,118.22,79.5,59.64,4.67,12.35,0.06,15.5,-0.13,NSE : THERMAX
Grindwell Norton,2251.05,68.21,24923.63,0.64,96.88,4.81,668.35,4.76,27.78,Capital Goods-Non Electrical Equipment,13.8,15.48,0.03,20.74,58.03,2.02,0.0,54.28,24835.97,11.07,163.1,2.8,0.93,0.0,6,4,1.12,1.25,58.03,34.35,40.24,7.77,,44.6,20.8,348.51,92.14,93.87,40.24,145.77,18.24,8.34,0.06,15.38,0.06,NSE : GRINDWELL
Carborundum Uni.,1136.35,50.01,21594.14,0.31,117.76,43.75,1203.22,5.56,20.4,Capital Goods-Non Electrical Equipment,7.65,11.9,0.1,15.39,41.51,2.92,0.02,54.28,21471.29,19.0,148.49,2.8,1.53,0.0,5,4,1.3,1.27,41.5,14.72,49.2,7.77,,84.97,16.19,280.88,169.09,71.53,49.2,191.42,19.12,9.98,0.62,29.38,0.56,NSE : CARBORUNIV
Bharat Dynamics,1143.5,59.18,20958.21,0.71,41.82,4.92,297.72,-57.15,15.54,Capital Goods-Non Electrical Equipment,6.53,4.6,0.0,11.28,74.93,2.86,0.0,35.01,17104.56,18.33,175.22,0.67,2.62,0.0,6,3,0.33,2.38,74.93,5.73,27.06,4.69,,225.33,5.64,276.0,443.16,142.28,27.06,558.38,7.92,3.36,0.53,13.78,-0.32,NSE : BDL
Elgi Equipments,493.4,40.87,15636.29,0.41,60.48,24.21,723.88,4.34,24.43,Capital Goods-Non Electrical Equipment,11.4,12.87,0.42,23.77,31.19,3.5,0.81,42.25,15642.85,31.69,43.27,2.87,1.2,0.0,7,4,1.37,1.62,30.94,15.99,66.11,11.3,,88.78,22.07,108.41,134.79,74.7,66.11,143.38,34.47,29.33,0.24,4.87,0.0,NSE : ELGIEQUIP
Jupiter Wagons,360.5,79.56,13967.48,0.14,63.6,374.27,753.19,154.97,24.35,Capital Goods-Non Electrical Equipment,17.27,9.23,0.36,16.77,72.36,2.14,0.0,35.01,14089.49,38.74,20.87,3.97,0.77,0.0,5,6,1.53,1.68,72.36,13.67,37.64,4.69,,73.3,18.41,46.13,105.59,45.93,37.64,113.88,25.11,0.27,0.26,2.26,0.77,NSE : JWL
BEML Ltd,2495.2,62.88,10390.01,0.2,-75.01,8.92,576.91,-13.79,10.81,Capital Goods-Non Electrical Equipment,4.29,2.92,0.16,6.61,54.03,3.08,0.0,35.01,10732.14,4.16,582.06,1.01,1.23,0.0,7,2,0.72,2.23,54.03,5.42,115.77,4.69,,262.14,6.59,721.25,352.06,115.88,115.77,352.17,20.38,6.08,0.64,19.51,-0.21,NSE : BEML
Titagarh Rail,814.8,59.46,10361.9,0.0,61.78,179.42,910.76,110.89,17.59,Capital Goods-Non Electrical Equipment,10.11,5.48,0.37,14.91,47.82,3.11,0.0,35.01,10615.18,12.72,80.58,4.45,0.81,0.0,8,6,1.13,2.55,47.82,15.81,36.66,4.69,,46.86,14.7,170.09,60.13,54.85,36.66,78.33,33.33,12.6,6.53,9.1,2.49,NSE : TITAGARH
Bharat Forge,1078.8,86.41,50227.7,0.65,213.73,31.75,3877.27,35.97,7.73,"Castings, Forgings & Fastners",7.49,2.71,1.09,6.88,45.25,2.39,7.12,28.74,56501.42,46.56,143.99,2.33,0.58,0.0,4,3,0.77,2.52,42.03,5.75,87.29,3.42,,106.91,7.4,202.16,146.98,131.72,87.29,191.41,10.17,15.79,-0.38,28.61,0.91,NSE : BHARATFORG
AIA Engineering,3703.8,30.72,34934.38,0.43,272.52,42.98,1239.58,14.81,25.11,"Castings, Forgings & Fastners",6.14,17.83,0.09,20.05,58.47,4.37,0.0,28.74,34630.94,9.43,603.4,2.0,2.1,71.88,6,5,0.84,1.03,58.47,28.95,64.01,3.42,,139.61,22.82,1279.75,233.04,46.18,64.01,215.21,2.56,18.05,0.01,20.93,0.24,NSE : AIAENG
CIE Automotive,519.45,26.35,19705.98,0.0,301.68,15.72,2320.34,4.71,14.64,"Castings, Forgings & Fastners",3.86,-0.86,0.19,-1.65,65.7,5.32,0.0,28.74,20604.58,37.94,134.41,4.1,0.53,0.0,5,3,0.89,1.94,65.7,-21.76,35.9,3.42,,-0.06,11.04,86.71,-34.74,163.16,35.9,92.53,11.96,7.54,-1.08,14.75,3.56,NSE : CIEINDIA
Ramkrishna Forg.,713.1,41.52,11428.91,0.28,78.53,52.81,892.34,27.6,18.53,"Castings, Forgings & Fastners",8.65,6.87,1.01,20.65,46.27,4.17,6.08,28.74,12715.01,16.03,82.47,2.03,0.64,39.23,7,4,0.89,2.73,43.46,12.49,88.62,3.42,,101.64,14.22,178.53,117.82,198.61,88.62,227.82,33.05,16.34,1.54,4.2,-0.56,NSE : RKFORGE
TVS Holdings,5269.25,16.03,10660.79,1.12,409.41,27.12,9468.18,23.5,13.11,"Castings, Forgings & Fastners",3.28,3.63,7.96,14.78,74.45,11.31,86.92,28.74,32521.33,2.02,1604.45,10.03,0.77,0.0,5,6,0.97,10.72,9.74,11.28,15.93,3.42,,94.09,9.4,3501.62,-37.36,92.84,15.93,39.55,12.22,0.97,0.16,12.38,-0.21,NSE : TVSHLTD
PTC Industries,5960.4,303.55,8083.65,0.0,9.26,239.19,70.81,53.77,10.63,"Castings, Forgings & Fastners",26.8,4.38,0.47,8.68,67.93,0.62,0.0,28.74,8194.32,1.34,222.43,1.04,0.94,0.0,8,5,0.47,1.54,67.93,8.77,105.6,3.42,,180.55,10.03,316.53,363.84,108.24,105.6,366.48,31.83,0.0,0.0,0.24,0.24,NSE : PTCIL
Electrost.Cast.,68.6,13.8,4078.99,1.31,74.92,-21.27,1685.04,-4.65,9.99,"Castings, Forgings & Fastners",0.93,3.73,0.61,7.51,44.08,10.56,12.47,28.74,6334.36,59.46,73.71,1.92,0.66,25.61,7,4,0.85,1.96,38.58,9.09,53.0,3.42,,138.72,7.85,90.79,206.93,53.72,53.0,207.65,39.06,14.93,0.24,1.68,-0.08,Not Found
Jayaswal Neco,32.8,11.27,3184.87,0.0,27.59,20.52,1464.57,-4.1,9.66,"Castings, Forgings & Fastners",1.55,4.49,1.66,14.29,48.03,8.53,100.0,28.74,6316.2,97.1,21.19,2.71,0.24,0.0,6,4,1.03,3.01,0.0,10.33,26.96,3.42,,78.92,8.9,33.7,131.3,34.62,26.96,138.96,51.96,0.0,0.0,0.0,0.0,NSE : JAYNECOIND
M M Forgings,935.65,17.91,2258.73,0.64,30.09,1.83,365.52,9.79,15.12,"Castings, Forgings & Fastners",3.28,8.08,1.09,19.83,56.34,7.44,0.0,28.74,2805.64,2.41,285.3,3.32,0.73,0.0,6,2,0.91,2.26,56.34,11.66,59.11,3.42,,88.24,12.5,579.11,129.2,85.8,59.11,155.89,25.44,1.64,-0.01,16.59,-0.43,NSE : MMFL
Steelcast,681.75,18.0,1379.86,0.99,20.28,43.42,119.49,3.35,42.15,"Castings, Forgings & Fastners",6.41,24.08,0.11,37.63,45.0,7.5,0.0,28.74,1400.06,2.02,106.33,3.53,1.13,58.69,9,5,1.64,1.35,45.0,31.79,59.29,3.42,,62.25,34.41,301.02,86.05,112.69,59.29,139.45,54.67,0.27,0.18,0.06,0.06,NSE : STEELCAS
Hil Ltd,2993.5,43.04,2256.37,1.5,57.86,-51.52,1015.5,-6.38,8.71,Cement - Products,1.81,4.27,0.35,8.13,40.59,3.34,0.0,32.15,2625.47,0.75,1649.93,3.12,0.47,0.0,3,3,1.52,1.84,40.59,6.69,13.46,2.03,,44.97,3.71,1833.04,74.77,60.07,13.46,121.38,49.36,2.54,-0.26,3.45,0.07,NSE : HIL
Everest Inds.,1210.05,56.36,1904.98,0.5,17.81,-43.97,484.14,7.16,11.58,Cement - Products,3.26,3.93,0.19,7.65,50.39,2.83,0.0,32.15,2003.77,1.57,371.16,2.39,0.4,0.0,3,3,1.5,1.88,50.39,10.99,23.8,2.03,,60.63,5.0,458.55,154.63,62.95,23.8,193.78,38.94,10.63,-0.04,0.03,0.0,NSE : EVERESTIND
Ramco Inds.,190.3,16.53,1651.98,0.53,39.57,-34.77,486.96,-1.98,3.42,Cement - Products,0.43,2.75,0.08,3.15,53.88,6.23,0.64,32.15,1886.49,8.68,447.42,1.73,0.43,3.88,2,2,0.33,1.13,53.53,10.51,15.11,2.03,,131.16,2.63,342.96,276.93,10.84,15.11,272.67,41.89,0.73,-0.43,3.5,0.0,NSE : RAMCOIND
BIGBLOC Const.,171.0,43.84,1210.47,0.23,5.9,-30.01,54.87,-1.21,35.49,Cement - Products,16.07,19.25,1.16,49.25,72.27,3.42,0.0,32.15,1296.04,7.08,10.64,8.18,1.07,0.0,6,2,1.28,2.08,72.27,26.86,56.71,2.03,,65.3,22.26,30.72,21.23,92.31,56.71,56.83,27.71,0.0,-0.05,0.02,0.02,NSE : BIGBLOC
Visaka Industrie,95.75,26.97,827.33,2.09,12.26,-68.26,446.84,-6.76,9.89,Cement - Products,1.07,4.72,0.5,7.78,48.42,5.91,15.86,32.15,1184.16,8.64,89.46,2.82,0.6,0.0,3,5,1.33,1.6,40.74,7.13,30.29,2.03,,90.0,5.11,81.37,149.59,38.45,30.29,157.75,47.7,3.22,-0.61,0.67,-0.17,NSE : VISAKAIND
Sahyadri Industr,421.1,15.16,460.95,0.95,15.11,-30.72,225.02,18.09,14.37,Cement - Products,1.37,7.24,0.37,11.61,71.12,8.96,0.0,32.15,579.22,1.09,306.34,1.74,0.49,0.0,2,5,1.16,1.53,71.12,11.18,21.55,2.03,,131.84,9.32,437.52,223.96,57.91,21.55,260.32,28.87,0.0,0.0,0.01,0.0,NSE : SAHYADRI
Kanoria Energy,21.27,18.55,181.41,0.24,5.2,4.63,128.82,37.97,13.65,Cement - Products,2.23,3.9,1.23,11.79,73.95,8.73,0.0,32.15,282.43,8.53,9.53,1.95,0.42,0.0,4,5,1.28,2.84,73.95,9.61,14.05,2.03,,123.27,9.34,15.68,197.76,66.47,14.05,250.18,26.05,0.0,0.0,0.0,0.0,BSE: 539620
Vardhman Concr.,7.12,,5.1,0.0,-0.05,-66.67,0.0,,-3.03,Cement - Products,,-5.29,,,61.02,-1.0,10.42,32.15,20.06,0.72,-11.92,,0.23,,2,1,0.0,-0.9,54.66,-5.29,,2.03,,,-2.65,,,,,,38.98,0.0,0.0,0.0,0.0,BSE: 531444
UltraTech Cem.,8262.4,46.15,238524.21,0.46,1690.22,6.73,17737.1,16.97,12.91,Cement - Products,4.39,5.77,0.2,9.63,59.96,3.3,0.0,38.0,248432.36,28.87,1881.78,4.62,0.35,0.0,6,3,0.72,1.61,59.96,10.08,22.32,2.84,,-28.87,8.98,2753.22,-0.13,270.86,22.32,248.41,8.09,15.81,1.04,15.95,-0.98,NSE : ULTRACEMCO
Shree Cement,24139.35,54.65,87096.58,0.41,581.12,84.16,4999.07,18.95,8.99,Cement,4.76,5.38,0.15,7.45,62.55,2.39,0.0,38.0,89788.42,3.61,5068.76,2.97,0.36,0.0,5,3,0.68,1.35,62.55,27.89,19.64,2.84,,2.59,8.3,7097.54,394.51,327.01,19.64,701.88,12.83,12.62,-0.2,11.83,0.25,NSE : SHREECEM
Ambuja Cements,433.9,38.15,86157.15,0.58,1135.46,20.43,8712.9,8.47,16.0,Cement,3.23,6.76,0.02,10.76,63.15,4.37,100.0,38.0,83718.84,198.56,134.46,5.61,1.39,0.0,6,4,0.8,1.82,0.0,10.97,10.82,2.84,,45.45,7.07,177.94,46.45,198.1,10.82,233.73,9.94,12.45,1.29,14.14,-0.34,NSE : AMBUJACEM
Dalmia BharatLtd,2123.55,36.69,39823.01,0.42,144.0,-33.67,3624.0,9.75,8.52,Cement,2.55,4.59,0.25,6.97,55.86,3.8,0.0,24.56,43393.01,18.75,833.58,5.01,0.5,0.0,6,2,0.54,1.61,55.86,9.34,18.87,1.88,,-17.9,6.46,984.58,52.22,209.12,18.87,242.47,21.29,13.91,1.04,8.82,0.29,NSE : DALBHARAT
ACC,2011.25,44.45,37768.71,0.46,466.14,105.04,5201.11,16.4,10.04,Cement,2.67,4.83,0.01,7.06,56.69,3.28,11.72,38.0,37507.04,18.78,752.9,7.73,1.18,0.0,4,4,1.07,1.47,50.05,10.45,14.29,2.84,,36.59,5.99,810.13,23.04,99.95,14.29,108.7,13.8,9.98,-0.07,19.35,-0.16,NSE : ACC
J K Cements,3341.0,67.72,25815.32,0.45,113.47,-23.57,2762.63,21.57,10.38,Cement,5.51,3.46,1.13,9.48,45.8,3.08,0.0,38.0,30274.23,7.73,606.56,3.79,0.91,0.0,5,3,0.79,2.63,45.8,6.39,18.03,2.84,,33.15,7.02,817.42,54.69,188.39,18.03,225.05,15.54,15.5,-0.04,23.15,0.69,NSE : JKCEMENT
The Ramco Cement,888.3,67.67,20989.85,0.23,78.91,-29.71,2241.09,26.44,6.55,Cement,3.09,2.48,0.66,5.14,42.11,2.82,21.09,24.56,25328.37,23.63,287.51,4.67,0.33,0.4,5,4,0.59,2.03,33.23,5.25,20.86,1.88,,-22.41,4.92,291.4,87.47,173.2,20.86,239.81,14.11,7.95,0.4,32.44,-0.02,NSE : RAMCOCEM
Nuvoco Vistas,344.8,29.69,12314.74,0.0,14.46,-29.36,2805.5,5.77,1.93,Cement,1.39,2.16,0.54,4.73,71.79,1.71,0.0,38.0,16896.73,35.72,247.48,4.32,0.28,0.0,7,3,0.55,2.18,71.79,-0.05,20.73,2.84,,-54.5,1.52,39.19,-112.66,348.02,20.73,214.63,4.87,2.76,-0.38,20.6,0.16,NSE : NUVOCO
Birla Corpn.,1171.1,367.81,9018.64,0.21,59.71,-16.22,2408.46,9.29,3.73,Cement,1.51,0.32,0.75,0.75,62.9,2.94,0.0,38.0,13262.62,7.7,776.67,3.63,0.64,0.0,5,2,0.62,2.34,62.9,3.44,13.59,2.84,,22.92,2.77,294.78,66.54,306.83,13.59,359.78,14.15,7.18,1.44,15.79,-0.58,NSE : BIRLACORPN
India Cements,260.95,,8086.77,0.38,-87.18,-209.0,1436.74,-5.12,-3.73,Cement,1.4,-2.72,0.51,-5.46,28.42,-3.26,25.57,24.56,10967.19,30.99,186.39,4.34,0.93,0.0,4,2,0.48,2.04,21.15,-1.74,53.66,1.88,,108.72,-3.12,,-126.4,438.01,53.66,257.95,48.52,13.65,0.5,9.43,0.05,NSE : INDIACEM
JK Lakshmi Cem.,667.35,24.09,7852.71,0.56,79.79,-29.42,1730.25,4.6,14.35,Cement,2.8,5.73,0.67,13.08,46.31,6.51,0.0,38.0,9393.48,11.77,238.28,4.5,0.35,0.0,7,3,1.03,2.22,46.31,12.4,3.7,2.84,,-13.52,9.35,385.35,75.22,163.98,3.7,235.5,13.86,11.5,-0.18,28.33,0.38,NSE : JKLAKSHMI
Kajaria Ceramics,1459.0,63.85,23235.79,0.62,109.11,16.49,1064.23,5.56,20.31,Ceramic Products,9.98,11.18,0.11,15.79,47.49,2.21,0.0,57.85,23091.83,15.93,146.12,5.2,1.5,0.0,3,2,1.39,1.36,47.49,14.47,50.08,1.88,,59.51,15.37,272.53,107.18,69.68,50.08,126.78,9.33,17.95,1.06,25.22,-1.01,NSE : KAJARIACER
Cera Sanitary.,9546.3,54.0,12415.8,0.52,56.7,42.52,428.91,7.98,25.8,Ceramic Products,10.59,13.25,0.05,19.41,54.48,2.56,0.0,57.85,12442.7,1.3,901.61,2.62,0.65,0.0,8,5,1.12,1.38,54.48,35.58,38.28,1.88,,50.26,19.0,1878.35,116.0,91.59,38.28,169.31,17.05,19.44,1.41,9.04,-0.69,NSE : CERA
Somany Ceramics,719.2,47.0,3054.75,0.42,12.57,-15.86,586.53,4.9,10.16,Ceramic Products,3.88,3.42,0.68,8.57,54.78,4.02,0.0,57.85,3434.44,4.25,185.28,4.9,0.58,0.0,5,4,1.31,2.41,54.78,6.79,39.5,1.88,,30.99,6.9,253.61,44.68,141.35,39.5,146.53,21.72,1.57,0.19,21.92,-0.1,NSE : SOMANYCERA
Asian Granito,64.85,,821.94,1.08,-3.54,-16.19,334.8,7.99,-6.57,Ceramic Products,0.65,-5.03,0.18,-6.68,29.02,-9.5,0.0,57.85,838.12,12.67,99.1,4.33,1.57,14.47,2,2,0.91,1.37,29.02,-5.15,97.48,1.88,,115.31,-4.14,,80.28,105.56,97.48,88.35,69.79,1.2,-0.37,0.0,0.0,NSE : ASIANTILES
Orient Bell,453.1,46.36,656.52,0.22,-1.31,-118.71,144.12,-6.72,10.39,Ceramic Products,2.12,4.77,0.03,7.53,65.2,3.18,0.0,57.85,661.88,1.45,214.15,5.62,0.92,0.0,4,2,1.5,1.51,65.2,7.27,57.59,1.88,,41.27,4.35,217.14,23.12,153.15,57.59,118.68,34.67,0.07,-0.01,0.04,0.0,NSE : ORIENTBELL
Exxaro Tiles,144.2,90.23,645.17,0.0,0.17,-84.26,74.13,9.68,5.86,Ceramic Products,2.35,1.81,0.34,2.92,42.07,2.83,0.0,57.85,736.22,4.47,61.26,1.81,0.8,0.88,4,2,0.73,1.59,42.07,3.99,127.21,1.88,,188.32,4.45,44.37,307.49,252.95,127.21,433.23,53.8,4.13,0.0,0.0,0.0,NSE : EXXARO
Murudesh.Ceramic,41.3,35.46,238.28,1.21,1.12,12.0,37.9,20.05,4.66,Ceramic Products,0.68,1.3,0.34,1.92,72.65,6.05,0.0,57.85,356.92,5.77,60.55,0.79,0.31,0.0,5,4,0.34,1.45,72.65,4.66,35.24,1.88,,214.47,4.0,39.84,782.34,227.56,35.24,974.65,27.3,0.04,0.04,0.0,0.0,Not Found
Nitco,21.0,,150.9,0.0,-32.77,-9.27,92.43,1.57,-10.83,Ceramic Products,,-16.03,,,53.02,-5.83,91.38,57.85,1021.48,7.19,-48.6,1.22,0.17,0.0,4,1,0.45,-2.42,4.57,-13.41,70.38,1.88,,104.61,-7.28,,183.9,188.55,70.38,302.07,24.05,0.0,0.0,22.93,-0.73,NSE - BE : NITCO
