Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Power,,15.36%,Edelweiss Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,15.07%,Edelweiss Banking & PSU Debt Fund,Banking and PSU Fund
Construction,,9.46%,Edelweiss Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,48.49%,Franklin India Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,12.66%,Franklin India Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,11.75%,Franklin India Banking & PSU Debt Fund,Banking and PSU Fund
Power,,11.48%,Franklin India Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,7.90%,Franklin India Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,69.59%,HDFC Banking and PSU Debt Fund,Banking and PSU Fund
Sovereign,,18.17%,HDFC Banking and PSU Debt Fund,Banking and PSU Fund
Telecommunication,,4.07%,HDFC Banking and PSU Debt Fund,Banking and PSU Fund
Current Assets,,3.74%,HDFC Banking and PSU Debt Fund,Banking and PSU Fund
Power,,2.45%,HDFC Banking and PSU Debt Fund,Banking and PSU Fund
Financial Services,,60.08%,HSBC Banking and PSU Debt Fund,Banking and PSU Fund
Sovereign,,21.25%,HSBC Banking and PSU Debt Fund,Banking and PSU Fund
Power,,10.82%,HSBC Banking and PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,6.24%,HSBC Banking and PSU Debt Fund,Banking and PSU Fund
Current Assets,,1.36%,HSBC Banking and PSU Debt Fund,Banking and PSU Fund
Financial Services,,55.71%,ICICI Prudential Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,22.05%,ICICI Prudential Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,7.04%,ICICI Prudential Banking & PSU Debt Fund,Banking and PSU Fund
Telecommunication,,4.79%,ICICI Prudential Banking & PSU Debt Fund,Banking and PSU Fund
Construction,,3.96%,ICICI Prudential Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,59.23%,Invesco India Banking and PSU Fund,Banking and PSU Fund
Sovereign,,19.54%,Invesco India Banking and PSU Fund,Banking and PSU Fund
Power,,8.32%,Invesco India Banking and PSU Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,4.25%,Invesco India Banking and PSU Fund,Banking and PSU Fund
Construction,,4.23%,Invesco India Banking and PSU Fund,Banking and PSU Fund
Financial Services,,59.30%,ITI Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,17.85%,ITI Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,11.53%,ITI Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,11.06%,ITI Banking & PSU Debt Fund,Banking and PSU Fund
Mutual Funds,,0.26%,ITI Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,62.61%,Kotak Banking and PSU Debt Fund,Banking and PSU Fund
Sovereign,,18.88%,Kotak Banking and PSU Debt Fund,Banking and PSU Fund
Power,,6.16%,Kotak Banking and PSU Debt Fund,Banking and PSU Fund
Construction,,5.34%,Kotak Banking and PSU Debt Fund,Banking and PSU Fund
Current Assets,,5.09%,Kotak Banking and PSU Debt Fund,Banking and PSU Fund
Financial Services,,70.12%,LIC MF Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,13.44%,LIC MF Banking & PSU Debt Fund,Banking and PSU Fund
Power,,10.18%,LIC MF Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,3.05%,LIC MF Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,2.97%,LIC MF Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,72.36%,Mirae Asset Banking and PSU Fund,Banking and PSU Fund
Sovereign,,12.83%,Mirae Asset Banking and PSU Fund,Banking and PSU Fund
Current Assets,,5.94%,Mirae Asset Banking and PSU Fund,Banking and PSU Fund
Power,,5.68%,Mirae Asset Banking and PSU Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,2.85%,Mirae Asset Banking and PSU Fund,Banking and PSU Fund
Financial Services,,65.04%,Nippon India Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,20.19%,Nippon India Banking & PSU Debt Fund,Banking and PSU Fund
Power,,6.09%,Nippon India Banking & PSU Debt Fund,Banking and PSU Fund
Telecommunication,,4.58%,Nippon India Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,3.07%,Nippon India Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,56.18%,SBI Banking and PSU Fund,Banking and PSU Fund
Sovereign,,22.11%,SBI Banking and PSU Fund,Banking and PSU Fund
Power,,8.11%,SBI Banking and PSU Fund,Banking and PSU Fund
Current Assets,,3.98%,SBI Banking and PSU Fund,Banking and PSU Fund
Telecommunication,,3.71%,SBI Banking and PSU Fund,Banking and PSU Fund
Financial Services,,28.83%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Consumer Services,,9.66%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Capital Goods,,8.06%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Automobile and Auto Components,,7.50%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Information Technology,,5.64%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Financial Services,,27.56%,Axis Childrens Gift Fund,Childrens Fund
Sovereign,,17.93%,Axis Childrens Gift Fund,Childrens Fund
Information Technology,,7.95%,Axis Childrens Gift Fund,Childrens Fund
Automobile and Auto Components,,7.65%,Axis Childrens Gift Fund,Childrens Fund
Consumer Services,,6.84%,Axis Childrens Gift Fund,Childrens Fund
Financial Services,,26.01%,HDFC Childrens Gift Fund,Childrens Fund
Sovereign,,20.37%,HDFC Childrens Gift Fund,Childrens Fund
Capital Goods,,12.50%,HDFC Childrens Gift Fund,Childrens Fund
Information Technology,,8.64%,HDFC Childrens Gift Fund,Childrens Fund
Construction,,4.80%,HDFC Childrens Gift Fund,Childrens Fund
Financial Services,,13.76%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Metals & Mining,,10.56%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Capital Goods,,10.05%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Construction Materials,,9.67%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Sovereign,,8.00%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Financial Services,,24.26%,LIC MF Childrens Gift Fund,Childrens Fund
Information Technology,,10.59%,LIC MF Childrens Gift Fund,Childrens Fund
Sovereign,,9.97%,LIC MF Childrens Gift Fund,Childrens Fund
Capital Goods,,8.78%,LIC MF Childrens Gift Fund,Childrens Fund
Fast Moving Consumer Goods,,6.75%,LIC MF Childrens Gift Fund,Childrens Fund
Financial Services,,32.04%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Current Assets,,13.37%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Fast Moving Consumer Goods,,12.95%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Services,,8.97%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Healthcare,,7.46%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Sovereign,,40.63%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Financial Services,,17.79%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Current Assets,,10.84%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Consumer Durables,,6.35%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Fast Moving Consumer Goods,,6.14%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Financial Services,,30.48%,Tata Young Citizens Fund,Childrens Fund
Information Technology,,11.87%,Tata Young Citizens Fund,Childrens Fund
Fast Moving Consumer Goods,,11.08%,Tata Young Citizens Fund,Childrens Fund
Consumer Durables,,8.26%,Tata Young Citizens Fund,Childrens Fund
"Oil, Gas & Consumable Fuels",,5.13%,Tata Young Citizens Fund,Childrens Fund
Financial Services,,25.20%,Union Childrens Fund,Childrens Fund
Automobile and Auto Components,,12.98%,Union Childrens Fund,Childrens Fund
Information Technology,,10.47%,Union Childrens Fund,Childrens Fund
Current Assets,,8.08%,Union Childrens Fund,Childrens Fund
Capital Goods,,5.66%,Union Childrens Fund,Childrens Fund
Financial Services,,30.11%,UTI CCF - Investment Plan,Childrens Fund
Information Technology,,10.28%,UTI CCF - Investment Plan,Childrens Fund
Automobile and Auto Components,,10.08%,UTI CCF - Investment Plan,Childrens Fund
Consumer Services,,7.57%,UTI CCF - Investment Plan,Childrens Fund
Fast Moving Consumer Goods,,6.98%,UTI CCF - Investment Plan,Childrens Fund
Financial Services,,33.12%,UTI CCF- Savings Plan,Childrens Fund
Sovereign,,32.05%,UTI CCF- Savings Plan,Childrens Fund
Information Technology,,4.13%,UTI CCF- Savings Plan,Childrens Fund
Automobile and Auto Components,,4.06%,UTI CCF- Savings Plan,Childrens Fund
Current Assets,,3.94%,UTI CCF- Savings Plan,Childrens Fund
Financial Services,,48.92%,Aditya Birla Sun Life Regular Savings Fund,Conservative Hybrid Fund
Sovereign,,27.85%,Aditya Birla Sun Life Regular Savings Fund,Conservative Hybrid Fund
Current Assets,,3.02%,Aditya Birla Sun Life Regular Savings Fund,Conservative Hybrid Fund
Realty,,3.00%,Aditya Birla Sun Life Regular Savings Fund,Conservative Hybrid Fund
Automobile and Auto Components,,2.59%,Aditya Birla Sun Life Regular Savings Fund,Conservative Hybrid Fund
Sovereign,,40.22%,Axis Regular Saver Fund,Conservative Hybrid Fund
Financial Services,,33.86%,Axis Regular Saver Fund,Conservative Hybrid Fund
Automobile and Auto Components,,5.60%,Axis Regular Saver Fund,Conservative Hybrid Fund
Information Technology,,3.73%,Axis Regular Saver Fund,Conservative Hybrid Fund
Current Assets,,2.63%,Axis Regular Saver Fund,Conservative Hybrid Fund
Sovereign,,58.04%,Bandhan Regular Savings Fund,Conservative Hybrid Fund
Financial Services,,18.30%,Bandhan Regular Savings Fund,Conservative Hybrid Fund
Mutual Funds,,13.18%,Bandhan Regular Savings Fund,Conservative Hybrid Fund
Current Assets,,4.49%,Bandhan Regular Savings Fund,Conservative Hybrid Fund
Automobile and Auto Components,,2.53%,Bandhan Regular Savings Fund,Conservative Hybrid Fund
Sovereign,,36.16%,Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,35.22%,Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.09%,Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund
Capital Goods,,3.94%,Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund
Telecommunication,,2.87%,Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,33.96%,Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,20.50%,Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.21%,Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund
Power,,5.96%,Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund
Telecommunication,,4.73%,Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,49.14%,Canara Robeco Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,28.85%,Canara Robeco Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,3.70%,Canara Robeco Conservative Hybrid Fund,Conservative Hybrid Fund
Construction Materials,,2.44%,Canara Robeco Conservative Hybrid Fund,Conservative Hybrid Fund
Healthcare,,2.39%,Canara Robeco Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,42.62%,DSP Regular Savings Fund,Conservative Hybrid Fund
Sovereign,,29.54%,DSP Regular Savings Fund,Conservative Hybrid Fund
Power,,7.22%,DSP Regular Savings Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,6.41%,DSP Regular Savings Fund,Conservative Hybrid Fund
Healthcare,,4.63%,DSP Regular Savings Fund,Conservative Hybrid Fund
Financial Services,,55.78%,Franklin India Debt Hybrid Fund,Conservative Hybrid Fund
Sovereign,,21.38%,Franklin India Debt Hybrid Fund,Conservative Hybrid Fund
Current Assets,,4.49%,Franklin India Debt Hybrid Fund,Conservative Hybrid Fund
Information Technology,,2.76%,Franklin India Debt Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,2.13%,Franklin India Debt Hybrid Fund,Conservative Hybrid Fund
Financial Services,,44.03%,HDFC Hybrid Debt Fund,Conservative Hybrid Fund
Sovereign,,19.81%,HDFC Hybrid Debt Fund,Conservative Hybrid Fund
Current Assets,,5.78%,HDFC Hybrid Debt Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.44%,HDFC Hybrid Debt Fund,Conservative Hybrid Fund
Automobile and Auto Components,,4.89%,HDFC Hybrid Debt Fund,Conservative Hybrid Fund
Sovereign,,63.46%,HSBC Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,13.08%,HSBC Conservative Hybrid Fund,Conservative Hybrid Fund
Capital Goods,,6.89%,HSBC Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,4.43%,HSBC Conservative Hybrid Fund,Conservative Hybrid Fund
Construction,,3.02%,HSBC Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,36.33%,ICICI Prudential Regular Savings Fund,Conservative Hybrid Fund
Sovereign,,26.62%,ICICI Prudential Regular Savings Fund,Conservative Hybrid Fund
Realty,,9.31%,ICICI Prudential Regular Savings Fund,Conservative Hybrid Fund
Current Assets,,5.06%,ICICI Prudential Regular Savings Fund,Conservative Hybrid Fund
Automobile and Auto Components,,3.04%,ICICI Prudential Regular Savings Fund,Conservative Hybrid Fund
Current Assets,,56.62%,ITI Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,23.35%,ITI Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,3.28%,ITI Conservative Hybrid Fund,Conservative Hybrid Fund
Information Technology,,3.23%,ITI Conservative Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,2.16%,ITI Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,51.62%,Kotak Debt Hybrid Fund,Conservative Hybrid Fund
Financial Services,,21.24%,Kotak Debt Hybrid Fund,Conservative Hybrid Fund
Current Assets,,6.13%,Kotak Debt Hybrid Fund,Conservative Hybrid Fund
Automobile and Auto Components,,3.42%,Kotak Debt Hybrid Fund,Conservative Hybrid Fund
Power,,3.22%,Kotak Debt Hybrid Fund,Conservative Hybrid Fund
Sovereign,,76.58%,LIC MF Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,8.94%,LIC MF Conservative Hybrid Fund,Conservative Hybrid Fund
Information Technology,,5.52%,LIC MF Conservative Hybrid Fund,Conservative Hybrid Fund
Fast Moving Consumer Goods,,4.06%,LIC MF Conservative Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,1.93%,LIC MF Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,39.15%,Navi Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,23.73%,Navi Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,16.21%,Navi Conservative Hybrid Fund,Conservative Hybrid Fund
Information Technology,,3.77%,Navi Conservative Hybrid Fund,Conservative Hybrid Fund
Capital Goods,,3.61%,Navi Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,43.11%,Nippon India Hybrid Bond Fund,Conservative Hybrid Fund
Realty,,9.99%,Nippon India Hybrid Bond Fund,Conservative Hybrid Fund
Sovereign,,6.41%,Nippon India Hybrid Bond Fund,Conservative Hybrid Fund
Power,,5.63%,Nippon India Hybrid Bond Fund,Conservative Hybrid Fund
Current Assets,,5.40%,Nippon India Hybrid Bond Fund,Conservative Hybrid Fund
Sovereign,,66.38%,Parag Parikh Conservative Hybrid Fund,Conservative Hybrid Fund
Realty,,7.72%,Parag Parikh Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,7.20%,Parag Parikh Conservative Hybrid Fund,Conservative Hybrid Fund
"Oil, Gas & Consumable Fuels",,4.36%,Parag Parikh Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,3.91%,Parag Parikh Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,30.54%,SBI Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,26.43%,SBI Conservative Hybrid Fund,Conservative Hybrid Fund
Telecommunication,,6.63%,SBI Conservative Hybrid Fund,Conservative Hybrid Fund
Construction,,6.00%,SBI Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,4.65%,SBI Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,54.30%,Sundaram Debt Oriented Hybrid Fund,Conservative Hybrid Fund
Current Assets,,22.47%,Sundaram Debt Oriented Hybrid Fund,Conservative Hybrid Fund
Financial Services,,9.09%,Sundaram Debt Oriented Hybrid Fund,Conservative Hybrid Fund
Construction,,3.19%,Sundaram Debt Oriented Hybrid Fund,Conservative Hybrid Fund
Information Technology,,2.46%,Sundaram Debt Oriented Hybrid Fund,Conservative Hybrid Fund
Financial Services,,44.57%,UTI Conservative Hybrid Fund,Conservative Hybrid Fund
Sovereign,,26.83%,UTI Conservative Hybrid Fund,Conservative Hybrid Fund
Power,,5.70%,UTI Conservative Hybrid Fund,Conservative Hybrid Fund
Current Assets,,3.22%,UTI Conservative Hybrid Fund,Conservative Hybrid Fund
Information Technology,,2.81%,UTI Conservative Hybrid Fund,Conservative Hybrid Fund
Financial Services,,31.92%,Invesco India Contra Fund,Contra Fund
Information Technology,,12.85%,Invesco India Contra Fund,Contra Fund
Automobile and Auto Components,,9.70%,Invesco India Contra Fund,Contra Fund
Healthcare,,7.67%,Invesco India Contra Fund,Contra Fund
Capital Goods,,7.64%,Invesco India Contra Fund,Contra Fund
Financial Services,,21.60%,SBI Contra Fund,Contra Fund
"Oil, Gas & Consumable Fuels",,9.37%,SBI Contra Fund,Contra Fund
Current Assets,,8.11%,SBI Contra Fund,Contra Fund
Information Technology,,7.95%,SBI Contra Fund,Contra Fund
Healthcare,,7.23%,SBI Contra Fund,Contra Fund
Financial Services,,54.55%,Aditya Birla Sun Life Corporate Bond Fund,Corporate Bond Fund
Sovereign,,29.93%,Aditya Birla Sun Life Corporate Bond Fund,Corporate Bond Fund
Current Assets,,5.02%,Aditya Birla Sun Life Corporate Bond Fund,Corporate Bond Fund
Construction,,3.52%,Aditya Birla Sun Life Corporate Bond Fund,Corporate Bond Fund
Services,,2.62%,Aditya Birla Sun Life Corporate Bond Fund,Corporate Bond Fund
Financial Services,,56.20%,Axis Corporate Debt Fund,Corporate Bond Fund
Sovereign,,21.57%,Axis Corporate Debt Fund,Corporate Bond Fund
Telecommunication,,6.84%,Axis Corporate Debt Fund,Corporate Bond Fund
Current Assets,,5.61%,Axis Corporate Debt Fund,Corporate Bond Fund
Power,,5.57%,Axis Corporate Debt Fund,Corporate Bond Fund
Financial Services,,74.75%,Bandhan Corporate Bond Fund,Corporate Bond Fund
Sovereign,,9.86%,Bandhan Corporate Bond Fund,Corporate Bond Fund
Current Assets,,4.53%,Bandhan Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,3.28%,Bandhan Corporate Bond Fund,Corporate Bond Fund
Power,,2.86%,Bandhan Corporate Bond Fund,Corporate Bond Fund
Financial Services,,53.36%,Baroda BNP Paribas Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,17.36%,Baroda BNP Paribas Corporate Bond Fund,Corporate Bond Fund
Sovereign,,12.83%,Baroda BNP Paribas Corporate Bond Fund,Corporate Bond Fund
Power,,6.76%,Baroda BNP Paribas Corporate Bond Fund,Corporate Bond Fund
Current Assets,,5.59%,Baroda BNP Paribas Corporate Bond Fund,Corporate Bond Fund
Financial Services,,62.46%,Canara Robeco Corporate Bond Fund,Corporate Bond Fund
Sovereign,,23.47%,Canara Robeco Corporate Bond Fund,Corporate Bond Fund
Construction Materials,,6.23%,Canara Robeco Corporate Bond Fund,Corporate Bond Fund
Current Assets,,4.37%,Canara Robeco Corporate Bond Fund,Corporate Bond Fund
Power,,3.15%,Canara Robeco Corporate Bond Fund,Corporate Bond Fund
Financial Services,,61.24%,DSP Corporate Bond Fund,Corporate Bond Fund
Sovereign,,15.85%,DSP Corporate Bond Fund,Corporate Bond Fund
Power,,9.80%,DSP Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,6.96%,DSP Corporate Bond Fund,Corporate Bond Fund
Services,,3.57%,DSP Corporate Bond Fund,Corporate Bond Fund
Financial Services,,56.65%,Franklin India Corporate Debt Fund,Corporate Bond Fund
Sovereign,,18.98%,Franklin India Corporate Debt Fund,Corporate Bond Fund
Power,,13.70%,Franklin India Corporate Debt Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,6.10%,Franklin India Corporate Debt Fund,Corporate Bond Fund
Current Assets,,4.32%,Franklin India Corporate Debt Fund,Corporate Bond Fund
Financial Services,,57.58%,HDFC Corporate Bond Fund,Corporate Bond Fund
Sovereign,,22.51%,HDFC Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,7.86%,HDFC Corporate Bond Fund,Corporate Bond Fund
Power,,5.29%,HDFC Corporate Bond Fund,Corporate Bond Fund
Current Assets,,3.34%,HDFC Corporate Bond Fund,Corporate Bond Fund
Financial Services,,48.63%,HSBC Corporate Bond Fund,Corporate Bond Fund
Sovereign,,17.89%,HSBC Corporate Bond Fund,Corporate Bond Fund
Power,,17.29%,HSBC Corporate Bond Fund,Corporate Bond Fund
Construction,,9.71%,HSBC Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,5.06%,HSBC Corporate Bond Fund,Corporate Bond Fund
Financial Services,,56.92%,ICICI Prudential Corporate Bond Fund,Corporate Bond Fund
Sovereign,,22.47%,ICICI Prudential Corporate Bond Fund,Corporate Bond Fund
Current Assets,,5.52%,ICICI Prudential Corporate Bond Fund,Corporate Bond Fund
Consumer Durables,,3.24%,ICICI Prudential Corporate Bond Fund,Corporate Bond Fund
"Oil, Gas & Consumable Fuels",,3.24%,ICICI Prudential Corporate Bond Fund,Corporate Bond Fund
Financial Services,,48.53%,Invesco India Corporate Bond Fund,Corporate Bond Fund
Sovereign,,24.14%,Invesco India Corporate Bond Fund,Corporate Bond Fund
