Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
Automobile and Auto Components,,8.25%,Aditya Birla Sun Life Frontline Equity Fund,Large Cap Fund
Fast Moving Consumer Goods,,7.54%,Aditya Birla Sun Life Frontline Equity Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.43%,Aditya Birla Sun Life Frontline Equity Fund,Large Cap Fund
Financial Services,,32.75%,Axis Bluechip Fund,Large Cap Fund
Information Technology,,10.13%,Axis Bluechip Fund,Large Cap Fund
Automobile and Auto Components,,10.06%,Axis Bluechip Fund,Large Cap Fund
Consumer Services,,9.36%,Axis Bluechip Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,5.66%,Axis Bluechip Fund,Large Cap Fund
Financial Services,,32.50%,Bandhan Large Cap Fund,Large Cap Fund
Information Technology,,13.30%,Bandhan Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,11.01%,Bandhan Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.65%,Bandhan Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,6.85%,Bandhan Large Cap Fund,Large Cap Fund
Financial Services,,33.46%,Bank of India Bluechip Fund,Large Cap Fund
Information Technology,,8.43%,Bank of India Bluechip Fund,Large Cap Fund
Automobile and Auto Components,,8.35%,Bank of India Bluechip Fund,Large Cap Fund
Healthcare,,7.15%,Bank of India Bluechip Fund,Large Cap Fund
Capital Goods,,6.77%,Bank of India Bluechip Fund,Large Cap Fund
Financial Services,,26.69%,Baroda BNP Paribas Large Cap Fund,Large Cap Fund
Information Technology,,9.86%,Baroda BNP Paribas Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,9.74%,Baroda BNP Paribas Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.50%,Baroda BNP Paribas Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,7.60%,Baroda BNP Paribas Large Cap Fund,Large Cap Fund
Financial Services,,31.63%,Canara Robeco Bluechip Equity Fund,Large Cap Fund
Information Technology,,11.11%,Canara Robeco Bluechip Equity Fund,Large Cap Fund
Fast Moving Consumer Goods,,7.83%,Canara Robeco Bluechip Equity Fund,Large Cap Fund
Automobile and Auto Components,,7.01%,Canara Robeco Bluechip Equity Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.21%,Canara Robeco Bluechip Equity Fund,Large Cap Fund
Financial Services,,42.99%,DSP Top 100 Equity Fund,Large Cap Fund
Automobile and Auto Components,,15.93%,DSP Top 100 Equity Fund,Large Cap Fund
Healthcare,,14.81%,DSP Top 100 Equity Fund,Large Cap Fund
Information Technology,,6.56%,DSP Top 100 Equity Fund,Large Cap Fund
Fast Moving Consumer Goods,,6.15%,DSP Top 100 Equity Fund,Large Cap Fund
Financial Services,,31.40%,Edelweiss Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,10.91%,Edelweiss Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,10.65%,Edelweiss Large Cap Fund,Large Cap Fund
Information Technology,,9.45%,Edelweiss Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.54%,Edelweiss Large Cap Fund,Large Cap Fund
Financial Services,,37.98%,Franklin India Bluechip,Large Cap Fund
Automobile and Auto Components,,11.97%,Franklin India Bluechip,Large Cap Fund
Information Technology,,11.84%,Franklin India Bluechip,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.21%,Franklin India Bluechip,Large Cap Fund
Fast Moving Consumer Goods,,6.97%,Franklin India Bluechip,Large Cap Fund
Financial Services,,29.68%,Groww Large Cap Fund,Large Cap Fund
Information Technology,,14.66%,Groww Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,11.28%,Groww Large Cap Fund,Large Cap Fund
Construction,,7.95%,Groww Large Cap Fund,Large Cap Fund
Capital Goods,,4.12%,Groww Large Cap Fund,Large Cap Fund
Financial Services,,35.55%,HDFC Top 100 Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.86%,HDFC Top 100 Fund,Large Cap Fund
Information Technology,,9.68%,HDFC Top 100 Fund,Large Cap Fund
Fast Moving Consumer Goods,,8.51%,HDFC Top 100 Fund,Large Cap Fund
Healthcare,,6.71%,HDFC Top 100 Fund,Large Cap Fund
Financial Services,,32.35%,HSBC Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.76%,HSBC Large Cap Fund,Large Cap Fund
Information Technology,,9.74%,HSBC Large Cap Fund,Large Cap Fund
Healthcare,,7.68%,HSBC Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,7.31%,HSBC Large Cap Fund,Large Cap Fund
Financial Services,,24.04%,ICICI Prudential Bluechip Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,11.75%,ICICI Prudential Bluechip Fund,Large Cap Fund
Automobile and Auto Components,,10.14%,ICICI Prudential Bluechip Fund,Large Cap Fund
Information Technology,,9.41%,ICICI Prudential Bluechip Fund,Large Cap Fund
Current Assets,,8.04%,ICICI Prudential Bluechip Fund,Large Cap Fund
Financial Services,,33.07%,Invesco India Largecap Fund,Large Cap Fund
Information Technology,,11.66%,Invesco India Largecap Fund,Large Cap Fund
Automobile and Auto Components,,7.73%,Invesco India Largecap Fund,Large Cap Fund
Capital Goods,,7.53%,Invesco India Largecap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.44%,Invesco India Largecap Fund,Large Cap Fund
Financial Services,,33.10%,ITI Large Cap Fund,Large Cap Fund
Information Technology,,9.76%,ITI Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,9.00%,ITI Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,5.62%,ITI Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,5.62%,ITI Large Cap Fund,Large Cap Fund
Financial Services,,27.52%,JM Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,10.01%,JM Large Cap Fund,Large Cap Fund
Construction Materials,,9.94%,JM Large Cap Fund,Large Cap Fund
Information Technology,,8.90%,JM Large Cap Fund,Large Cap Fund
Power,,8.52%,JM Large Cap Fund,Large Cap Fund
Financial Services,,26.02%,Kotak Bluechip Fund,Large Cap Fund
Automobile and Auto Components,,12.36%,Kotak Bluechip Fund,Large Cap Fund
Information Technology,,11.97%,Kotak Bluechip Fund,Large Cap Fund
Fast Moving Consumer Goods,,8.95%,Kotak Bluechip Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.95%,Kotak Bluechip Fund,Large Cap Fund
Financial Services,,36.76%,LIC MF Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,11.37%,LIC MF Large Cap Fund,Large Cap Fund
Information Technology,,8.82%,LIC MF Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.53%,LIC MF Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,6.11%,LIC MF Large Cap Fund,Large Cap Fund
Financial Services,,32.01%,Mahindra Manulife Large Cap Fund,Large Cap Fund
Information Technology,,12.54%,Mahindra Manulife Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,10.48%,Mahindra Manulife Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,8.06%,Mahindra Manulife Large Cap Fund,Large Cap Fund
Healthcare,,5.56%,Mahindra Manulife Large Cap Fund,Large Cap Fund
Financial Services,,37.40%,Mirae Asset Large Cap Fund,Large Cap Fund
Information Technology,,12.17%,Mirae Asset Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.30%,Mirae Asset Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,6.41%,Mirae Asset Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,4.52%,Mirae Asset Large Cap Fund,Large Cap Fund
Financial Services,,37.29%,Nippon India Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,9.44%,Nippon India Large Cap Fund,Large Cap Fund
Consumer Services,,7.85%,Nippon India Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.07%,Nippon India Large Cap Fund,Large Cap Fund
Power,,6.59%,Nippon India Large Cap Fund,Large Cap Fund
Financial Services,,32.44%,PGIM India Large Cap Fund,Large Cap Fund
Information Technology,,10.48%,PGIM India Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,8.89%,PGIM India Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.38%,PGIM India Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,5.73%,PGIM India Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,19.45%,Quant Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,18.79%,Quant Large Cap Fund,Large Cap Fund
Financial Services,,15.92%,Quant Large Cap Fund,Large Cap Fund
Power,,11.95%,Quant Large Cap Fund,Large Cap Fund
Metals & Mining,,11.94%,Quant Large Cap Fund,Large Cap Fund
Financial Services,,31.71%,SBI Bluechip Fund,Large Cap Fund
Automobile and Auto Components,,14.60%,SBI Bluechip Fund,Large Cap Fund
Fast Moving Consumer Goods,,10.23%,SBI Bluechip Fund,Large Cap Fund
Healthcare,,6.99%,SBI Bluechip Fund,Large Cap Fund
Construction,,6.01%,SBI Bluechip Fund,Large Cap Fund
Financial Services,,33.90%,Sundaram Large Cap Fund,Large Cap Fund
Information Technology,,11.56%,Sundaram Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,10.01%,Sundaram Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,8.08%,Sundaram Large Cap Fund,Large Cap Fund
Healthcare,,7.31%,Sundaram Large Cap Fund,Large Cap Fund
Financial Services,,33.96%,Tata Large Cap Fund,Large Cap Fund
Information Technology,,11.88%,Tata Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,9.08%,Tata Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.87%,Tata Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,6.39%,Tata Large Cap Fund,Large Cap Fund
Financial Services,,29.33%,Taurus Large Cap Fund,Large Cap Fund
Information Technology,,12.94%,Taurus Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,9.67%,Taurus Large Cap Fund,Large Cap Fund
Healthcare,,8.72%,Taurus Large Cap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,6.90%,Taurus Large Cap Fund,Large Cap Fund
Financial Services,,33.27%,Union Largecap Fund,Large Cap Fund
Information Technology,,11.53%,Union Largecap Fund,Large Cap Fund
Automobile and Auto Components,,8.55%,Union Largecap Fund,Large Cap Fund
"Oil, Gas & Consumable Fuels",,7.66%,Union Largecap Fund,Large Cap Fund
Fast Moving Consumer Goods,,6.05%,Union Largecap Fund,Large Cap Fund
Financial Services,,31.62%,UTI Large Cap Fund,Large Cap Fund
Information Technology,,15.48%,UTI Large Cap Fund,Large Cap Fund
Automobile and Auto Components,,8.56%,UTI Large Cap Fund,Large Cap Fund
Consumer Services,,7.54%,UTI Large Cap Fund,Large Cap Fund
Consumer Durables,,5.33%,UTI Large Cap Fund,Large Cap Fund
Financial Services,,38.05%,WhiteOak Capital Large Cap Fund,Large Cap Fund
Information Technology,,10.61%,WhiteOak Capital Large Cap Fund,Large Cap Fund
Fast Moving Consumer Goods,,9.27%,WhiteOak Capital Large Cap Fund,Large Cap Fund
Capital Goods,,6.02%,WhiteOak Capital Large Cap Fund,Large Cap Fund
Consumer Durables,,5.37%,WhiteOak Capital Large Cap Fund,Large Cap Fund
Financial Services,,20.46%,Aditya Birla Sun Life Mid Cap Fund,Mid Cap Fund
Capital Goods,,14.54%,Aditya Birla Sun Life Mid Cap Fund,Mid Cap Fund
Healthcare,,9.02%,Aditya Birla Sun Life Mid Cap Fund,Mid Cap Fund
Chemicals,,7.97%,Aditya Birla Sun Life Mid Cap Fund,Mid Cap Fund
Information Technology,,5.98%,Aditya Birla Sun Life Mid Cap Fund,Mid Cap Fund
Capital Goods,,17.85%,Axis Midcap Fund,Mid Cap Fund
Financial Services,,16.46%,Axis Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,14.29%,Axis Midcap Fund,Mid Cap Fund
Consumer Services,,11.98%,Axis Midcap Fund,Mid Cap Fund
Chemicals,,8.12%,Axis Midcap Fund,Mid Cap Fund
Capital Goods,,25.32%,Bandhan Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,12.17%,Bandhan Midcap Fund,Mid Cap Fund
Financial Services,,11.66%,Bandhan Midcap Fund,Mid Cap Fund
Information Technology,,9.61%,Bandhan Midcap Fund,Mid Cap Fund
Consumer Services,,7.28%,Bandhan Midcap Fund,Mid Cap Fund
Financial Services,,17.96%,Baroda BNP Paribas Midcap Fund,Mid Cap Fund
Capital Goods,,16.19%,Baroda BNP Paribas Midcap Fund,Mid Cap Fund
Healthcare,,10.31%,Baroda BNP Paribas Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,9.54%,Baroda BNP Paribas Midcap Fund,Mid Cap Fund
Information Technology,,8.30%,Baroda BNP Paribas Midcap Fund,Mid Cap Fund
Financial Services,,21.79%,Canara Robeco Mid Cap Fund,Mid Cap Fund
Capital Goods,,15.83%,Canara Robeco Mid Cap Fund,Mid Cap Fund
Healthcare,,11.15%,Canara Robeco Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,9.06%,Canara Robeco Mid Cap Fund,Mid Cap Fund
Chemicals,,7.28%,Canara Robeco Mid Cap Fund,Mid Cap Fund
Capital Goods,,16.32%,DSP Midcap Fund,Mid Cap Fund
Financial Services,,13.39%,DSP Midcap Fund,Mid Cap Fund
Healthcare,,10.83%,DSP Midcap Fund,Mid Cap Fund
Chemicals,,10.19%,DSP Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,8.00%,DSP Midcap Fund,Mid Cap Fund
Financial Services,,22.33%,Edelweiss Mid Cap Fund,Mid Cap Fund
Capital Goods,,16.30%,Edelweiss Mid Cap Fund,Mid Cap Fund
Healthcare,,9.77%,Edelweiss Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,8.63%,Edelweiss Mid Cap Fund,Mid Cap Fund
Information Technology,,8.46%,Edelweiss Mid Cap Fund,Mid Cap Fund
Financial Services,,21.93%,Franklin India Prima Fund,Mid Cap Fund
Capital Goods,,13.26%,Franklin India Prima Fund,Mid Cap Fund
Healthcare,,8.25%,Franklin India Prima Fund,Mid Cap Fund
Automobile and Auto Components,,7.01%,Franklin India Prima Fund,Mid Cap Fund
Information Technology,,6.13%,Franklin India Prima Fund,Mid Cap Fund
Financial Services,,23.58%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Capital Goods,,13.20%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Healthcare,,10.34%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Automobile and Auto Components,,8.54%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Information Technology,,7.78%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Financial Services,,20.21%,HSBC Midcap Fund,Mid Cap Fund
Capital Goods,,15.84%,HSBC Midcap Fund,Mid Cap Fund
Healthcare,,14.20%,HSBC Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,8.43%,HSBC Midcap Fund,Mid Cap Fund
Information Technology,,5.01%,HSBC Midcap Fund,Mid Cap Fund
Capital Goods,,15.90%,ICICI Prudential MidCap Fund,Mid Cap Fund
Healthcare,,10.71%,ICICI Prudential MidCap Fund,Mid Cap Fund
Automobile and Auto Components,,10.47%,ICICI Prudential MidCap Fund,Mid Cap Fund
Realty,,9.87%,ICICI Prudential MidCap Fund,Mid Cap Fund
Metals & Mining,,7.28%,ICICI Prudential MidCap Fund,Mid Cap Fund
Financial Services,,21.55%,Invesco India Midcap Fund,Mid Cap Fund
Capital Goods,,17.72%,Invesco India Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,10.08%,Invesco India Midcap Fund,Mid Cap Fund
Healthcare,,10.06%,Invesco India Midcap Fund,Mid Cap Fund
Consumer Services,,8.30%,Invesco India Midcap Fund,Mid Cap Fund
Capital Goods,,20.21%,ITI Mid Cap Fund,Mid Cap Fund
Financial Services,,18.17%,ITI Mid Cap Fund,Mid Cap Fund
Healthcare,,8.28%,ITI Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,7.72%,ITI Mid Cap Fund,Mid Cap Fund
Information Technology,,6.96%,ITI Mid Cap Fund,Mid Cap Fund
Capital Goods,,18.03%,JM Midcap Fund,Mid Cap Fund
Financial Services,,16.48%,JM Midcap Fund,Mid Cap Fund
Healthcare,,8.53%,JM Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,7.61%,JM Midcap Fund,Mid Cap Fund
Consumer Services,,7.38%,JM Midcap Fund,Mid Cap Fund
Capital Goods,,20.59%,Kotak Emerging Equity Fund,Mid Cap Fund
Financial Services,,12.90%,Kotak Emerging Equity Fund,Mid Cap Fund
Consumer Durables,,12.63%,Kotak Emerging Equity Fund,Mid Cap Fund
Chemicals,,11.49%,Kotak Emerging Equity Fund,Mid Cap Fund
Automobile and Auto Components,,9.78%,Kotak Emerging Equity Fund,Mid Cap Fund
Financial Services,,19.64%,LIC MF Mid cap Fund,Mid Cap Fund
Capital Goods,,15.09%,LIC MF Mid cap Fund,Mid Cap Fund
Automobile and Auto Components,,13.37%,LIC MF Mid cap Fund,Mid Cap Fund
Consumer Services,,12.37%,LIC MF Mid cap Fund,Mid Cap Fund
Chemicals,,7.35%,LIC MF Mid cap Fund,Mid Cap Fund
Financial Services,,21.08%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Capital Goods,,12.91%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,8.12%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Healthcare,,7.74%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Information Technology,,6.12%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Financial Services,,23.12%,Mirae Asset Midcap Fund,Mid Cap Fund
Healthcare,,12.96%,Mirae Asset Midcap Fund,Mid Cap Fund
Consumer Durables,,9.05%,Mirae Asset Midcap Fund,Mid Cap Fund
Capital Goods,,8.52%,Mirae Asset Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,6.59%,Mirae Asset Midcap Fund,Mid Cap Fund
Information Technology,,22.48%,Motilal Oswal Midcap Fund,Mid Cap Fund
Financial Services,,15.17%,Motilal Oswal Midcap Fund,Mid Cap Fund
Capital Goods,,13.67%,Motilal Oswal Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,12.43%,Motilal Oswal Midcap Fund,Mid Cap Fund
Chemicals,,9.19%,Motilal Oswal Midcap Fund,Mid Cap Fund
Financial Services,,23.95%,Nippon India Growth Fund,Mid Cap Fund
Capital Goods,,13.04%,Nippon India Growth Fund,Mid Cap Fund
Healthcare,,11.09%,Nippon India Growth Fund,Mid Cap Fund
Consumer Services,,8.27%,Nippon India Growth Fund,Mid Cap Fund
Automobile and Auto Components,,7.27%,Nippon India Growth Fund,Mid Cap Fund
Financial Services,,18.72%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Automobile and Auto Components,,13.99%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Capital Goods,,10.77%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Healthcare,,10.45%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Chemicals,,8.12%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Financial Services,,19.75%,Quant Mid Cap Fund,Mid Cap Fund
Healthcare,,17.69%,Quant Mid Cap Fund,Mid Cap Fund
"Oil, Gas & Consumable Fuels",,12.58%,Quant Mid Cap Fund,Mid Cap Fund
Power,,8.88%,Quant Mid Cap Fund,Mid Cap Fund
Metals & Mining,,8.48%,Quant Mid Cap Fund,Mid Cap Fund
Financial Services,,16.44%,SBI Magnum Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,15.54%,SBI Magnum Midcap Fund,Mid Cap Fund
Capital Goods,,11.76%,SBI Magnum Midcap Fund,Mid Cap Fund
Healthcare,,7.82%,SBI Magnum Midcap Fund,Mid Cap Fund
Textiles,,6.62%,SBI Magnum Midcap Fund,Mid Cap Fund
Financial Services,,24.74%,Sundaram Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,11.50%,Sundaram Mid Cap Fund,Mid Cap Fund
Capital Goods,,11.10%,Sundaram Mid Cap Fund,Mid Cap Fund
Healthcare,,10.53%,Sundaram Mid Cap Fund,Mid Cap Fund
Consumer Services,,6.56%,Sundaram Mid Cap Fund,Mid Cap Fund
Capital Goods,,22.77%,Tata Mid Cap Growth Fund,Mid Cap Fund
Financial Services,,21.50%,Tata Mid Cap Growth Fund,Mid Cap Fund
Healthcare,,10.63%,Tata Mid Cap Growth Fund,Mid Cap Fund
Realty,,5.70%,Tata Mid Cap Growth Fund,Mid Cap Fund
Chemicals,,4.86%,Tata Mid Cap Growth Fund,Mid Cap Fund
Financial Services,,26.14%,Taurus Mid Cap Fund,Mid Cap Fund
Consumer Durables,,14.02%,Taurus Mid Cap Fund,Mid Cap Fund
Capital Goods,,10.56%,Taurus Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,7.77%,Taurus Mid Cap Fund,Mid Cap Fund
Information Technology,,5.91%,Taurus Mid Cap Fund,Mid Cap Fund
Financial Services,,21.43%,Union Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,12.35%,Union Midcap Fund,Mid Cap Fund
Capital Goods,,11.75%,Union Midcap Fund,Mid Cap Fund
Healthcare,,10.50%,Union Midcap Fund,Mid Cap Fund
Information Technology,,7.58%,Union Midcap Fund,Mid Cap Fund
Financial Services,,19.46%,UTI Mid Cap Fund,Mid Cap Fund
Capital Goods,,16.69%,UTI Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,11.51%,UTI Mid Cap Fund,Mid Cap Fund
Healthcare,,10.98%,UTI Mid Cap Fund,Mid Cap Fund
Information Technology,,8.83%,UTI Mid Cap Fund,Mid Cap Fund
Financial Services,,23.99%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Healthcare,,13.67%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Capital Goods,,13.14%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Information Technology,,10.61%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Consumer Services,,8.58%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Financial Services,,29.90%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.84%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,5.84%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Healthcare,,5.65%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,4.96%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,33.64%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.49%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,9.24%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,6.95%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Consumer Services,,6.69%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,21.69%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,15.03%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Information Technology,,7.95%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,7.64%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,7.03%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,33.24%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,28.90%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,7.80%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Healthcare,,7.44%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,4.90%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,63.39%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,25.62%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,16.48%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Current Assets,,4.26%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Fast Moving Consumer Goods,,-,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,23.46%,HDFC Multi - Asset Fund,Multi Asset Allocation
Miscellaneous,,13.75%,HDFC Multi - Asset Fund,Multi Asset Allocation
Mutual Funds,,11.89%,HDFC Multi - Asset Fund,Multi Asset Allocation
Sovereign,,9.16%,HDFC Multi - Asset Fund,Multi Asset Allocation
Information Technology,,5.86%,HDFC Multi - Asset Fund,Multi Asset Allocation
Financial Services,,23.57%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Current Assets,,20.15%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,8.39%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,5.51%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Power,,5.34%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Financial Services,,18.12%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,13.54%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,12.28%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Current Assets,,10.68%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,9.67%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,49.76%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Mutual Funds,,12.58%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Sovereign,,6.91%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Automobile and Auto Components,,6.21%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Information Technology,,6.12%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Mutual Funds,,29.67%,Nippon India Multi Asset Fund,Multi Asset Allocation
Financial Services,,21.03%,Nippon India Multi Asset Fund,Multi Asset Allocation
Sovereign,,7.50%,Nippon India Multi Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,5.80%,Nippon India Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,4.90%,Nippon India Multi Asset Fund,Multi Asset Allocation
Financial Services,,31.41%,Quant Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,14.02%,Quant Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,13.17%,Quant Multi Asset Fund,Multi Asset Allocation
Metals & Mining,,7.94%,Quant Multi Asset Fund,Multi Asset Allocation
Healthcare,,6.98%,Quant Multi Asset Fund,Multi Asset Allocation
Financial Services,,31.44%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.16%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,12.11%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Realty,,6.15%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,5.39%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,19.71%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
